month,band,plant_CNRL HORIZON OIL SANDS PROJECT,plant_FORT HILLS MINE,plant_JACKPINE MINE,plant_KEARL MINE PROJECT 2-9-097-07W4M,plant_MUSKEG RIVER MINE,plant_SUNCOR ENERGY OSG,plant_SYNCRUDE AURORA,plant_SYNCRUDE MILDRED LAKE,proj_ath_hangingstone,proj_ath_leismer,proj_cnq_jackfish,proj_cnq_kirby,proj_cnq_peace_river,proj_cnq_primrose,proj_connacher_great_divide,proj_cop_surmont,proj_cve_christina_lake,proj_cve_foster_creek,proj_cve_sunrise,proj_gfr_hangingstone_exp,proj_harvest_blackgold,proj_imo_cold_lake,proj_ipc_blackrod,proj_narrows_lake,proj_petrochina_mackay,proj_scr_lindbergh,proj_scr_orion,proj_scr_tucker,proj_su_firebag,proj_su_mackay_river,scoplant_CNRL HORIZON OIL SANDS PROJECT,scoplant_SHELL SCOTFORD UPGRADER,scoplant_STURGEON REFINERY,scoplant_SUNCOR ENERGY OSG,scoplant_SYNCRUDE MILDRED LAKE
2025-08,act,302.4,193.4,162.6,325.8,176.6,257.6,216.4,203.8,11.2,35.1,159.5,73.7,1.9,101.8,24.7,189.2,303.0,266.4,74.9,24.8,4.8,205.6,1.0,10.0,11.8,19.4,24.1,30.5,308.4,45.7,270.6,337.4,20.2,368.3,362.5
2025-09,act,324.9,191.2,165.0,336.8,209.4,313.2,188.5,132.4,11.5,35.4,157.8,68.8,2.9,106.2,24.7,180.6,296.9,276.7,48.6,23.5,0.5,199.3,1.0,19.5,11.9,20.3,28.7,31.5,312.7,27.1,260.7,347.5,48.8,389.4,262.5
2025-10,act,316.6,188.7,111.8,276.3,221.7,261.1,200.0,153.1,11.4,34.6,156.0,70.3,4.0,111.7,24.4,183.9,288.7,276.0,75.7,23.8,8.7,187.8,1.0,27.8,11.5,19.0,31.7,29.5,309.7,32.4,279.8,353.8,47.5,381.4,296.7
2025-11,act,324.5,184.9,175.8,281.5,197.8,305.5,221.2,215.3,11.3,33.7,145.6,74.8,4.0,106.2,25.5,191.2,276.1,268.7,77.6,24.0,13.7,207.5,0.9,40.1,11.5,20.2,29.6,29.6,320.7,44.2,309.8,347.0,52.2,378.2,395.5
2025-12,act,322.8,184.8,154.4,317.0,212.3,318.6,215.4,234.7,11.2,33.8,139.1,71.9,4.2,92.4,24.8,189.8,267.6,291.6,76.0,24.4,12.8,207.1,0.8,45.8,11.2,18.6,29.8,29.4,313.8,43.8,292.7,338.0,52.3,328.8,381.5
2026-01,act,305.7,192.3,141.5,275.8,186.1,274.7,220.5,173.2,11.2,34.5,140.8,70.8,3.6,94.8,24.6,187.9,263.1,277.7,76.1,23.5,13.6,200.0,0.9,51.2,11.5,18.3,28.9,30.8,321.9,44.2,261.1,334.4,52.1,373.3,306.3
2026-02,act,303.9,194.5,121.1,288.1,230.4,231.7,183.8,118.2,11.5,34.2,137.2,69.9,3.6,99.2,23.7,197.0,259.0,282.7,76.1,21.7,13.4,207.3,0.8,54.1,11.4,18.6,29.1,31.2,311.8,44.7,273.2,354.3,52.2,372.7,245.3
2026-03,act,287.1,194.4,117.4,251.3,215.4,264.9,177.9,195.4,11.3,32.7,129.7,73.7,4.2,93.9,23.4,199.3,259.5,287.5,65.2,21.7,13.3,205.9,0.8,69.8,10.5,16.1,28.0,32.6,304.3,41.6,247.5,324.8,51.8,381.8,274.9
2026-04,act,313.3,150.2,172.7,288.0,209.5,244.9,188.0,158.7,11.4,32.3,93.2,74.3,4.2,92.8,23.1,191.6,248.5,296.7,74.7,21.9,13.2,197.7,0.9,80.7,10.0,17.0,28.1,31.4,273.9,44.3,288.4,344.3,49.7,340.3,345.0
2026-05,act,333.3,163.8,120.9,230.5,227.9,232.8,211.3,153.1,11.5,7.5,128.7,76.3,4.7,93.7,24.4,178.2,253.6,283.2,83.6,17.4,13.4,187.2,1.2,88.3,1.1,21.8,27.1,30.6,132.4,46.3,285.3,347.4,51.6,244.0,322.8
2026-06,act,,,,,,,,,10.8,30.0,131.9,73.4,2.8,91.9,26.1,172.2,237.5,235.5,80.6,22.4,13.0,203.2,3.0,96.2,9.6,25.9,27.8,28.7,305.3,43.9,,,,,
2026-07,act,,,,,,,,,11.9,32.6,128.8,70.1,4.4,113.5,25.3,167.8,258.2,310.7,86.2,23.3,13.4,194.3,5.0,101.6,11.9,25.4,28.4,28.9,305.7,41.7,,,,,
2026-08,nc,322.1,165.8,167.2,316.8,221.8,293.2,208.0,204.6,12.2,31.3,137.2,70.8,3.9,92.9,28.0,164.9,260.7,301.0,85.6,19.3,10.0,190.7,2.1,57.1,9.2,18.8,29.9,30.8,288.6,45.3,298.1,396.6,38.1,381.1,325.2
